fold,feature_set,buffer_range,rmse_mean,rmse_ci,r2_mean,r2_ci
3,landuse_and_time,150,8.6714228748169,0.04322827465476777,0.47766497900295235,0.004625162696750659
4,landuse_and_time,150,8.576438446285465,0.045371731954549896,0.40653657682162225,0.005292211871206646
0,landuse_and_time,100,8.21492510065599,0.045898655385277765,0.32691395005455126,0.00564180226306133
1,landuse_and_time,100,8.922793342875352,0.044446758650343136,0.4126101612548894,0.004865040565588694
2,landuse_and_time,100,9.506632510165614,0.04514277868825429,0.4246144959153668,0.004728895562849596
3,landuse_and_time,100,8.718942298213584,0.04249534333833379,0.4719565941329342,0.004572691975688603
4,landuse_and_time,100,8.612486967496537,0.04599948100172686,0.4015423501850479,0.00532965080571139
0,landuse_and_time,50,8.276583612757666,0.04618465308388353,0.3168211464616233,0.0056911574245454045
1,landuse_and_time,50,9.11998640159238,0.04603984785482752,0.38634423739274987,0.004975668833465534
2,landuse_and_time,50,9.664005530355166,0.045596214409939,0.4053889136550308,0.004812296109336714
3,landuse_and_time,50,8.896778037790522,0.042501014049553074,0.45018164141457157,0.004632331215820899
4,landuse_and_time,50,8.746976427967336,0.04556889906004643,0.3827139546767489,0.00529437220188924
0,landuse_only,50-1000,6.6448050824754405,0.03558477871257133,0.5596389918109931,0.004198522996857747
1,landuse_only,50-1000,6.57047189612065,0.030453452382896994,0.6814798959434822,0.0030380194476123715
2,landuse_only,50-1000,6.548058660292673,0.031223484800052808,0.7270057979802221,0.0025689982740302133
3,landuse_only,50-1000,6.3926995349026345,0.031227711737878295,0.7161397198633378,0.0028110403503181286
4,landuse_only,50-1000,6.292298416715032,0.03280009855485728,0.6805610376985638,0.00337382305266354
0,landuse_only,50-500,6.7159217331608305,0.03638617561188983,0.5501434943254814,0.004379481800883488
1,landuse_only,50-500,6.677563345091644,0.030805341855560584,0.6710152251156333,0.00315243104211528
2,landuse_only,50-500,6.637657308906291,0.03164760809778598,0.7194873423992664,0.0026591299977270083
3,landuse_only,50-500,6.4450755544376,0.03133405677452613,0.7114567180998329,0.002879629882091826
4,landuse_only,50-500,6.367378179248867,0.032920843985581795,0.672891380785126,0.003425600862477455
0,landuse_only,50-250,6.862689545041956,0.03819728834705482,0.5302990102152686,0.004456038819834802
1,landuse_only,50-250,6.871388793275797,0.03277449685904367,0.6516392891376404,0.0033369003059111296
2,landuse_only,50-250,6.800284378712723,0.03238511304407472,0.7055713344306447,0.0027374465912996114
3,landuse_only,50-250,6.536076119198582,0.03192791181157629,0.7032522601602481,0.0029397726442173906
4,landuse_only,50-250,6.5173018407925625,0.03519822989097291,0.6573022026561496,0.003567850502919959
0,landuse_only,50-200,6.937546515834324,0.03787238233570496,0.5199803529543973,0.004451586775842288
1,landuse_only,50-200,6.961312178037665,0.03240857750519091,0.6424376682073767,0.0032817059314045765
2,landuse_only,50-200,6.900132087284283,0.032634196274559144,0.6968613701446125,0.0027955169042419214
3,landuse_only,50-200,6.614744748196687,0.03149212784405629,0.6960772236647979,0.0029363014481305016
4,landuse_only,50-200,6.595989427273329,0.034591276879405,0.6490015157530296,0.0035806629683954156
0,landuse_only,50-150,7.0723833178565565,0.038420372159223184,0.501142957591963,0.004582799968605774
